"http://lvyou.baidu.com/dongfangmingzhu/" "{'seq_sort': 0, 'map_info': u'121.506253,31.245658'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/waitan/" "{'seq_sort': 0, 'map_info': u'121.496713,31.241772'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/tianzifang/" "{'seq_sort': 0, 'map_info': u'121.475844,31.213882'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/laochenghuangmiao/" "{'seq_sort': 0, 'map_info': u'121.499169,31.231128'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/nanjinglu/" "{'seq_sort': 0, 'map_info': u'121.4818,31.240769'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/shanghaidushafurenlaxiangguan/" "{'seq_sort': 0, 'map_info': u'121.47987,31.240479'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/shibohui/" "{'seq_sort': 0, 'map_info': u'121.511981,31.201826'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/zhujiajiao/" "{'seq_sort': 0, 'map_info': u'121.066194,31.114829'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/xintiandi/" "{'seq_sort': 0, 'map_info': u'121.481603,31.229416'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/fudandaxue/" "{'seq_sort': 0, 'map_info': u'121.510465,31.302285'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/shanghaikejiguan/" "{'seq_sort': 0, 'map_info': u'121.548202,31.224414'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/shanghaiyuyuan/" "{'seq_sort': 0, 'map_info': u'121.498774,31.233067'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/jinmaodasha/" "{'seq_sort': 0, 'map_info': u'121.512521,31.240917'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/chongmingdao/" "{'seq_sort': 0, 'map_info': u'121.481409,31.678292'}" "AttractionParser" "unsupported"
"http://lvyou.baidu.com/shanghaijinshan/" "{'seq_sort': 0, 'map_info': u'121.348904,30.747999'}" "AttractionParser" "handle error"
"http://lvyou.baidu.com/qibaolaojie/" "{'seq_sort': 0, 'map_info': u'121.360118,31.160031'}" "AttractionParser" "handle error"
